toi,tid,tfopwg_disp,rastr,ra,decstr,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
1031.01,304021498,FP,09h23m32.13s,140.8838900,-67d01m33.62s,-67.0260060,5.6496834,0.0008136,-0.0008136,0,2.5612882,0.4071460,-0.4071460,0,6.7892616,2.5511510,-2.5511510,0,1226.2203257,,,,1509.2524073,,,,9.7318000,0.006,-0.006,0,6415.4000000,103.2000000,-103.2000000,0,3.9800000,0.0800000,-0.0800000,0,1.9220001,0.0794221,-0.0794221,0
1049.01,16288184,KP,16h55m04.52s,253.7688480,-28d42m38.1s,-28.7105840,2.1805277,0.0000027,-0.0000027,0,2.9691750,0.0407210,-0.0407210,0,16.8088530,0.8821375,-0.8821375,0,1770.4650539,,,,1654.4040680,,,,11.0657000,0.006,-0.006,0,6599.0000000,200.0000000,-200.0000000,0,4.2101700,1.9641100,-1.9641100,0,1.2714601,0.0635578,-0.0635578,0
105.01,144065872,KP,22h29m49.88s,337.4578240,-48d00m11.16s,-48.0030990,2.1846669,0.0000005,-0.0000005,0,2.8652800,0.0090748,-0.0090748,0,13.7028527,0.6619751,-0.6619751,0,1362.1381428,,,,1549.4409801,,,,9.4995000,0.006,-0.006,0,5630.0000000,,,0,4.3775900,,,0,1.2382400,0.0596985,-0.0596985,0
1050.01,66818296,KP,15h59m50.94s,239.9622480,-28d03m42.46s,-28.0617940,3.7354838,0.0000021,-0.0000021,0,4.1420000,0.0450000,-0.0450000,0,21.2315000,1.1957900,-1.1957900,0,1292.1900000,,,,1670.0000000,,,,11.0261000,0.006,-0.006,0,6650.0000000,,,0,4.1639000,,,0,1.5700000,0.0900000,-0.0900000,0
1051.01,259863352,FA,02h41m27.83s,40.3659390,-71d27m45.9s,-71.4627490,21.7016690,0.0095323,-0.0095323,0,8.2676424,0.5088978,-0.5088978,0,2.3751494,0.6983451,-0.6983451,0,52.0950000,,,,685.2000000,,,,7.1278000,0.006,-0.006,0,5625.0000000,80.0000000,-80.0000000,0,4.4380000,,,0,1.5648600,0.1866290,-0.1866290,0
1052.01,317060587,PC,22h30m02.47s,337.5102740,-75d38m47.62s,-75.6465610,9.1398040,0.0001109,-0.0001109,0,3.0912936,0.6627002,-0.6627002,0,3.0629855,2.8175755,-2.8175755,0,243.0117630,,,,1006.9932829,,,,9.0197000,0.006,-0.006,0,5958.2000000,76.0000000,-76.0000000,0,4.3400000,0.1200000,-0.1200000,0,1.5800000,0.1651230,-0.1651230,0
1053.01,112395568,FP,19h23m54.51s,290.9771170,-33d21m05.1s,-33.3514160,5.7426250,0.0006210,-0.0006210,0,2.8602930,0.2304990,-0.2304990,0,13.0885320,3.6366680,-3.6366680,0,,,,,,,,,8.8849000,0.006,-0.006,0,5664.0000000,188.0000000,-188.0000000,0,3.2657400,0.3552610,-0.3552610,0,3.8695900,0.6445680,-0.6445680,0
1054.01,366989877,CP,20h08m27.4s,302.1141740,-54d19m03s,-54.3175010,15.5077301,0.0001097,-0.0001097,0,5.0493600,0.2346055,-0.2346055,0,3.0547686,0.4154935,-0.4154935,0,104.8330856,,,,816.1018114,,,,8.4362000,0.006,-0.006,0,6122.0000000,194.0000000,-194.0000000,0,4.3088100,0.2685550,-0.2685550,0,1.1709200,0.0546734,-0.0546734,0
1055.01,320004517,CP,19h33m08.79s,293.2866150,-54d31m57.82s,-54.5327280,17.4712881,0.0000684,-0.0000684,0,4.2979320,0.1572389,-0.1572389,0,3.4371030,0.4013165,-0.4013165,0,53.3701121,,,,689.3571404,,,,8.0888000,0.006,-0.006,0,5783.5400000,7.8242900,-7.8242900,0,4.4992500,0.0192310,-0.0192310,0,0.9746690,0.0546984,-0.0546984,0
1056.01,421894914,PC,22h37m02.09s,339.2587030,-76d55m03.38s,-76.9176050,5.3079888,0.0000310,-0.0000310,0,3.1395198,0.3012694,-0.3012694,0,2.8997170,0.6823424,-0.6823424,0,603.2343378,,,,1263.9830884,,,,9.6663000,0.006,-0.006,0,6124.3000000,83.0000000,-83.0000000,0,4.3800000,0.1600000,-0.1600000,0,1.3696300,0.0633668,-0.0633668,0
